Category,Customer,Quantity,Delivery Lead Time,Segment
Hakka,Store_Beta,331,43,Loyal
Bites,Store_Theta,64,29,Champion
Noodles,Store_Eta,465,36,Potential
Cookies,Store_Beta,441,13,Loyal
Sevai,Store_Gamma,100,32,Lost
Bites,Store_Eta,287,7,Loyal
Others,Store_Alpha,110,22,Lost
Others,Store_Alpha,164,28,Champion
Bites,Store_Epsilon,386,2,Loyal
Bites,Store_Zeta,358,42,Loyal
Bites,Store_Delta,460,6,At Risk
Hakka,Store_Theta,373,28,Loyal
Bites,Store_Zeta,150,28,Loyal
Cookies,Store_Eta,182,44,Champion
Sevai,Store_Beta,19,44,Champion
Hakka,Store_Eta,237,20,Champion
Bites,Store_Beta,274,30,Loyal
Pasta,Store_Beta,447,11,Champion
Pasta,Store_Zeta,257,28,Loyal
Sevai,Store_Delta,256,25,Loyal
Others,Store_Epsilon,164,39,Champion
Noodles,Store_Zeta,43,33,Potential
Noodles,Store_Delta,138,1,Loyal
Others,Store_Alpha,169,27,Champion
Hakka,Store_Alpha,98,13,Champion
Hakka,Store_Beta,102,41,At Risk
Hakka,Store_Gamma,336,3,At Risk
Noodles,Store_Eta,250,39,Potential
Pasta,Store_Eta,332,6,Loyal
Noodles,Store_Beta,477,8,Loyal
Cookies,Store_Gamma,413,27,Champion
Bites,Store_Theta,126,9,Champion
Hakka,Store_Delta,103,37,Champion
Pasta,Store_Theta,172,33,Potential
Sevai,Store_Theta,108,42,Lost
Sevai,Store_Alpha,122,44,Lost
Bites,Store_Theta,368,24,Champion
Pasta,Store_Eta,100,15,Potential
Noodles,Store_Zeta,355,32,Champion
Noodles,Store_Gamma,215,32,Loyal
Cookies,Store_Delta,26,24,Potential
Cookies,Store_Alpha,283,41,Loyal
Noodles,Store_Theta,182,12,Champion
Sevai,Store_Zeta,125,39,Champion
Hakka,Store_Gamma,358,2,Potential
Sevai,Store_Beta,477,3,Potential
Cookies,Store_Beta,190,37,Champion
Bites,Store_Beta,100,17,Potential
Noodles,Store_Eta,91,2,Champion
Cookies,Store_Delta,333,2,Champion
Cookies,Store_Beta,458,28,Potential
Hakka,Store_Eta,123,23,Potential
Noodles,Store_Epsilon,266,37,At Risk
Hakka,Store_Eta,67,32,Loyal
Noodles,Store_Alpha,163,33,Potential
Hakka,Store_Eta,374,1,Champion
Sevai,Store_Delta,413,19,Lost
Bites,Store_Zeta,125,2,Loyal
Bites,Store_Theta,352,44,Potential
Noodles,Store_Eta,275,26,Champion
Pasta,Store_Beta,324,32,Champion
Others,Store_Alpha,212,6,Champion
Cookies,Store_Gamma,50,32,Champion
Cookies,Store_Beta,114,4,Champion
Noodles,Store_Alpha,398,11,Lost
Hakka,Store_Epsilon,387,17,Champion
Pasta,Store_Theta,202,38,Champion
Sevai,Store_Gamma,410,24,Champion
Hakka,Store_Epsilon,287,5,Loyal
Hakka,Store_Zeta,363,34,Loyal
Noodles,Store_Alpha,246,6,Champion
Noodles,Store_Epsilon,434,22,Champion
Cookies,Store_Theta,230,11,Loyal
Noodles,Store_Theta,77,16,Champion
Noodles,Store_Zeta,206,33,Champion
Noodles,Store_Theta,265,9,Champion
Cookies,Store_Alpha,148,6,Champion
Sevai,Store_Alpha,321,16,Loyal
Sevai,Store_Theta,444,29,Lost
Others,Store_Epsilon,158,3,Lost
Others,Store_Alpha,108,20,Potential
Noodles,Store_Beta,85,36,Loyal
Others,Store_Theta,291,19,Potential
Cookies,Store_Alpha,380,26,Potential
Sevai,Store_Delta,412,3,Potential
Hakka,Store_Zeta,118,19,Loyal
Sevai,Store_Theta,197,20,Champion
Sevai,Store_Alpha,208,32,Lost
Cookies,Store_Delta,312,7,Champion
Others,Store_Alpha,336,41,Champion
Hakka,Store_Alpha,163,33,Champion
Cookies,Store_Epsilon,49,40,Champion
Noodles,Store_Beta,142,39,Loyal
Bites,Store_Theta,414,18,Champion
Sevai,Store_Zeta,471,40,Loyal
Bites,Store_Theta,141,1,Champion
Cookies,Store_Beta,288,11,Champion
Cookies,Store_Gamma,371,28,Champion
Cookies,Store_Epsilon,93,25,Loyal
Bites,Store_Epsilon,408,23,Potential
Cookies,Store_Beta,251,31,Potential
Noodles,Store_Eta,125,30,Loyal
Cookies,Store_Epsilon,118,42,Loyal
Pasta,Store_Theta,230,35,Loyal
Others,Store_Beta,401,7,Lost
Bites,Store_Epsilon,50,16,Champion
Pasta,Store_Alpha,377,26,Champion
Cookies,Store_Beta,156,2,Loyal
Noodles,Store_Beta,121,1,Champion
Sevai,Store_Theta,112,12,Lost
Hakka,Store_Delta,55,5,Potential
Others,Store_Epsilon,421,37,Champion
Hakka,Store_Epsilon,484,32,Loyal
Cookies,Store_Beta,333,9,Loyal
Others,Store_Alpha,387,41,Loyal
Others,Store_Alpha,280,35,Champion
Noodles,Store_Zeta,492,19,Loyal
Others,Store_Alpha,430,16,Champion
Bites,Store_Epsilon,394,3,Champion
Pasta,Store_Eta,204,20,Lost
Pasta,Store_Delta,376,24,Champion
Pasta,Store_Beta,289,33,Lost
Bites,Store_Gamma,292,24,Potential
Hakka,Store_Delta,49,11,Loyal
Noodles,Store_Theta,456,8,Potential
Others,Store_Theta,198,36,Champion
Bites,Store_Eta,173,38,Champion
Pasta,Store_Gamma,491,40,Champion
Cookies,Store_Delta,486,20,At Risk
Sevai,Store_Alpha,33,35,Champion
Others,Store_Epsilon,33,25,Champion
Bites,Store_Eta,499,35,Lost
Bites,Store_Gamma,13,25,Loyal
Noodles,Store_Eta,332,29,Potential
Noodles,Store_Delta,299,18,Potential
Bites,Store_Epsilon,450,18,Lost
Pasta,Store_Eta,442,2,At Risk
Sevai,Store_Gamma,480,35,At Risk
Others,Store_Beta,190,16,Loyal
Noodles,Store_Delta,257,41,Potential
Others,Store_Beta,125,36,Champion
Pasta,Store_Alpha,288,33,Champion
Others,Store_Beta,374,4,Loyal
Cookies,Store_Beta,78,33,Potential
Noodles,Store_Zeta,360,14,At Risk
Pasta,Store_Delta,263,21,Lost
Pasta,Store_Alpha,190,20,Champion
Sevai,Store_Beta,327,8,Loyal
Sevai,Store_Theta,178,7,Champion
Cookies,Store_Epsilon,322,3,Potential
Pasta,Store_Gamma,258,17,Potential
Hakka,Store_Beta,197,33,Champion
Pasta,Store_Alpha,63,12,Loyal
Sevai,Store_Beta,335,22,Champion
Hakka,Store_Gamma,366,22,Champion
Noodles,Store_Alpha,322,30,Lost
Noodles,Store_Delta,147,38,Champion
Others,Store_Alpha,177,38,Champion
Bites,Store_Delta,400,8,Champion
Sevai,Store_Alpha,112,27,Loyal
Bites,Store_Theta,431,27,At Risk
Hakka,Store_Eta,94,34,Champion
Sevai,Store_Gamma,326,21,Champion
Cookies,Store_Gamma,221,30,Champion
Pasta,Store_Alpha,12,33,Potential
Cookies,Store_Eta,393,28,Potential
Hakka,Store_Beta,188,33,Potential
Sevai,Store_Gamma,351,5,Champion
Hakka,Store_Theta,312,19,Champion
Pasta,Store_Delta,461,4,Loyal
Noodles,Store_Delta,485,35,Potential
Noodles,Store_Epsilon,341,17,Loyal
Hakka,Store_Zeta,47,44,Champion
Bites,Store_Eta,429,28,Lost
Sevai,Store_Zeta,248,30,Lost
Sevai,Store_Zeta,178,29,Champion
Noodles,Store_Delta,462,6,Champion
Others,Store_Theta,406,35,Loyal
Cookies,Store_Theta,352,41,Potential
Others,Store_Epsilon,323,37,Potential
Pasta,Store_Zeta,315,24,Loyal
Cookies,Store_Zeta,39,29,Champion
Cookies,Store_Alpha,199,31,Lost
Hakka,Store_Alpha,366,35,Lost
Noodles,Store_Alpha,34,33,Loyal
Others,Store_Beta,121,21,Champion
Others,Store_Zeta,420,32,Loyal
Noodles,Store_Theta,444,23,Loyal
Others,Store_Theta,215,33,Lost
Noodles,Store_Beta,194,3,Potential
Hakka,Store_Theta,391,18,Potential
Bites,Store_Epsilon,388,25,Loyal
Cookies,Store_Eta,56,42,Lost
Hakka,Store_Delta,383,31,Champion
Sevai,Store_Zeta,237,3,Champion
Pasta,Store_Theta,48,40,Champion
Bites,Store_Delta,25,24,Loyal
Sevai,Store_Theta,31,32,Potential
Cookies,Store_Eta,222,22,Champion
Others,Store_Alpha,319,23,Loyal
Noodles,Store_Zeta,158,2,Loyal
Cookies,Store_Gamma,465,27,Loyal
Hakka,Store_Beta,250,42,Loyal
Pasta,Store_Beta,281,2,Champion
Hakka,Store_Zeta,68,26,Lost
Bites,Store_Eta,296,17,Loyal
Bites,Store_Alpha,435,40,Loyal
Pasta,Store_Beta,211,33,Champion
Sevai,Store_Alpha,41,9,Potential
Sevai,Store_Epsilon,452,43,Champion
Bites,Store_Delta,171,39,Champion
Bites,Store_Eta,264,29,Champion
Others,Store_Gamma,263,42,Champion
Noodles,Store_Delta,18,26,Loyal
Others,Store_Delta,474,35,Potential
Others,Store_Epsilon,148,25,Champion
Sevai,Store_Beta,489,24,Champion
Pasta,Store_Gamma,19,13,Potential
Sevai,Store_Beta,223,7,Potential
Noodles,Store_Zeta,282,36,Loyal
Hakka,Store_Delta,333,20,Champion
Bites,Store_Zeta,57,1,Loyal
Bites,Store_Alpha,445,8,Loyal
Noodles,Store_Delta,120,16,Potential
Others,Store_Beta,162,14,Lost
Pasta,Store_Delta,132,12,At Risk
Bites,Store_Alpha,414,23,Champion
Cookies,Store_Epsilon,366,15,Loyal
Others,Store_Zeta,111,28,Loyal
Bites,Store_Theta,250,34,Potential
Cookies,Store_Zeta,330,2,Champion
Noodles,Store_Beta,200,32,Champion
Noodles,Store_Delta,226,23,Potential
Others,Store_Beta,60,22,Potential
Bites,Store_Epsilon,301,25,Lost
Sevai,Store_Delta,90,22,Loyal
Cookies,Store_Theta,498,22,Potential
Pasta,Store_Delta,392,42,Lost
Bites,Store_Theta,97,6,Champion
Pasta,Store_Beta,203,15,Champion
Bites,Store_Beta,113,43,Champion
Sevai,Store_Alpha,280,37,At Risk
Sevai,Store_Eta,105,33,Loyal
Others,Store_Eta,432,8,Champion
Others,Store_Epsilon,388,44,Loyal
Sevai,Store_Eta,207,44,Potential
Hakka,Store_Alpha,10,5,Loyal
Sevai,Store_Zeta,416,39,Loyal
Noodles,Store_Theta,387,4,Champion
Noodles,Store_Delta,176,6,Lost
Hakka,Store_Beta,135,32,Loyal
Cookies,Store_Delta,322,30,Loyal
Pasta,Store_Delta,90,35,Potential
Bites,Store_Gamma,427,40,Champion
Bites,Store_Zeta,260,16,Lost
Hakka,Store_Gamma,178,13,Loyal
Noodles,Store_Eta,486,42,Champion
Others,Store_Delta,82,30,Loyal
Bites,Store_Theta,150,19,Loyal
Noodles,Store_Beta,79,17,Potential
Cookies,Store_Theta,271,19,Champion
Pasta,Store_Delta,349,28,Potential
Cookies,Store_Zeta,317,26,Champion
Hakka,Store_Theta,254,37,Champion
Sevai,Store_Gamma,12,26,Champion
Sevai,Store_Beta,346,23,At Risk
Sevai,Store_Delta,72,9,Champion
Cookies,Store_Epsilon,58,12,Champion
Bites,Store_Zeta,85,1,Champion
Pasta,Store_Zeta,377,1,Champion
Sevai,Store_Epsilon,184,34,Champion
Hakka,Store_Theta,118,32,Lost
Hakka,Store_Delta,192,25,Champion
Sevai,Store_Zeta,201,40,Lost
Sevai,Store_Beta,74,1,Loyal
Pasta,Store_Delta,346,16,Potential
Sevai,Store_Delta,460,39,Lost
Pasta,Store_Gamma,483,5,Loyal
Hakka,Store_Zeta,280,22,At Risk
Sevai,Store_Zeta,109,29,Champion
Cookies,Store_Epsilon,41,3,Lost
Others,Store_Gamma,361,12,Potential
Cookies,Store_Theta,137,26,Champion
Hakka,Store_Eta,461,16,Loyal
Pasta,Store_Theta,411,37,Champion
Cookies,Store_Theta,378,22,Loyal
Pasta,Store_Gamma,348,29,Loyal
Cookies,Store_Zeta,52,14,Loyal
Cookies,Store_Delta,381,28,Champion
Pasta,Store_Gamma,428,5,Potential
Bites,Store_Epsilon,497,30,Loyal
Cookies,Store_Gamma,87,5,Loyal
Sevai,Store_Epsilon,323,12,Champion
Others,Store_Theta,298,16,Loyal
Hakka,Store_Eta,279,26,Loyal
Bites,Store_Gamma,171,26,Loyal
Pasta,Store_Epsilon,198,21,Lost
Bites,Store_Gamma,256,39,Potential
Noodles,Store_Eta,397,36,Champion
Noodles,Store_Theta,225,33,Potential
Cookies,Store_Gamma,324,30,Champion
Cookies,Store_Beta,422,37,Potential
Sevai,Store_Epsilon,348,23,Potential
Others,Store_Eta,399,10,Champion
Hakka,Store_Epsilon,386,5,Champion
Bites,Store_Epsilon,490,36,Loyal
Noodles,Store_Alpha,442,34,Champion
Cookies,Store_Eta,177,31,Lost
Hakka,Store_Gamma,348,10,Champion
Bites,Store_Epsilon,202,19,Lost
Cookies,Store_Zeta,462,32,At Risk
Cookies,Store_Alpha,292,1,Loyal
Noodles,Store_Beta,345,5,Potential
Noodles,Store_Epsilon,399,4,Potential
Cookies,Store_Theta,497,16,At Risk
Pasta,Store_Epsilon,22,24,At Risk
Cookies,Store_Alpha,249,16,Potential
Hakka,Store_Gamma,329,2,Loyal
Cookies,Store_Zeta,455,28,Potential
Sevai,Store_Theta,492,32,Loyal
Others,Store_Beta,156,27,Potential
Sevai,Store_Theta,213,20,Lost
Sevai,Store_Epsilon,89,24,Champion
Pasta,Store_Gamma,388,12,Champion
Pasta,Store_Eta,52,35,Champion
Cookies,Store_Zeta,467,33,Champion
Sevai,Store_Eta,98,33,Champion
Pasta,Store_Zeta,157,43,Potential
Noodles,Store_Beta,104,37,Lost
Cookies,Store_Delta,461,12,Lost
Hakka,Store_Zeta,437,3,Loyal
Others,Store_Delta,160,1,Lost
Bites,Store_Eta,11,33,Potential
Cookies,Store_Zeta,385,40,Champion
Bites,Store_Beta,31,10,Loyal
Sevai,Store_Alpha,380,43,Champion
Others,Store_Beta,322,44,Lost
Bites,Store_Beta,494,29,Champion
Sevai,Store_Alpha,337,13,Potential
Noodles,Store_Alpha,16,12,Champion
Bites,Store_Gamma,215,31,Potential
Others,Store_Zeta,449,2,Loyal
Cookies,Store_Eta,384,35,Champion
Sevai,Store_Gamma,460,23,Champion
Cookies,Store_Alpha,123,17,Loyal
Others,Store_Delta,281,26,Potential
Pasta,Store_Eta,92,8,Loyal
Sevai,Store_Delta,188,29,Potential
Bites,Store_Beta,219,26,Champion
Sevai,Store_Epsilon,473,10,Champion
Cookies,Store_Beta,337,26,Loyal
Noodles,Store_Beta,133,34,Loyal
Sevai,Store_Epsilon,490,41,Lost
Bites,Store_Zeta,122,7,Champion
Pasta,Store_Alpha,21,4,Potential
Hakka,Store_Delta,135,11,At Risk
Noodles,Store_Beta,62,29,Loyal
Pasta,Store_Epsilon,340,36,Champion
Sevai,Store_Gamma,398,25,Potential
Cookies,Store_Beta,292,21,At Risk
Others,Store_Delta,149,36,Lost
Cookies,Store_Alpha,410,10,Champion
Bites,Store_Beta,399,37,Potential
Cookies,Store_Beta,106,9,Loyal
Noodles,Store_Zeta,14,24,At Risk
Cookies,Store_Theta,66,35,At Risk
Bites,Store_Epsilon,421,35,Loyal
Hakka,Store_Gamma,343,36,Champion
Sevai,Store_Gamma,78,18,Loyal
Others,Store_Eta,127,39,Champion
Sevai,Store_Alpha,385,32,Potential
Cookies,Store_Eta,68,24,Champion
Pasta,Store_Delta,42,23,Loyal
Sevai,Store_Alpha,327,32,Champion
Hakka,Store_Beta,59,37,At Risk
Cookies,Store_Theta,377,12,Champion
Others,Store_Beta,498,13,Champion
Bites,Store_Gamma,28,23,Loyal
Hakka,Store_Delta,223,25,At Risk
Cookies,Store_Epsilon,206,35,Potential
Hakka,Store_Delta,388,41,Champion
Sevai,Store_Beta,459,30,Loyal
Others,Store_Epsilon,487,17,Loyal
Bites,Store_Delta,56,20,Loyal
Cookies,Store_Theta,176,25,Champion
Noodles,Store_Theta,461,22,Lost
Bites,Store_Delta,298,13,Champion
Noodles,Store_Epsilon,150,19,Lost
Hakka,Store_Beta,93,36,Champion
Pasta,Store_Delta,191,12,Potential
Bites,Store_Epsilon,400,41,Potential
Hakka,Store_Zeta,88,19,Loyal
Noodles,Store_Theta,224,12,Champion
Sevai,Store_Zeta,23,9,Champion
Sevai,Store_Beta,224,7,Loyal
Pasta,Store_Epsilon,412,28,Champion
Bites,Store_Zeta,137,14,Champion
Bites,Store_Epsilon,319,31,At Risk
Bites,Store_Delta,486,19,Champion
Hakka,Store_Beta,257,16,Potential
Others,Store_Zeta,413,5,Champion
Others,Store_Eta,38,35,Potential
Pasta,Store_Delta,289,12,Champion
Bites,Store_Theta,347,25,Lost
Hakka,Store_Eta,328,21,Champion
Sevai,Store_Eta,211,36,Champion
Noodles,Store_Alpha,370,23,Champion
Hakka,Store_Alpha,66,16,Champion
Others,Store_Beta,401,39,Loyal
Others,Store_Zeta,227,42,Loyal
Sevai,Store_Zeta,71,39,Loyal
Sevai,Store_Zeta,166,14,Lost
Noodles,Store_Epsilon,211,31,Loyal
Sevai,Store_Delta,26,5,Loyal
Pasta,Store_Zeta,331,35,Potential
Noodles,Store_Delta,15,23,Champion
Sevai,Store_Beta,67,29,Champion
Cookies,Store_Eta,334,43,Loyal
Hakka,Store_Zeta,421,11,At Risk
Sevai,Store_Beta,327,18,Lost
Pasta,Store_Zeta,178,12,Lost
Bites,Store_Alpha,462,9,Champion
Sevai,Store_Gamma,91,10,Potential
Others,Store_Beta,483,44,Loyal
Others,Store_Zeta,477,17,Loyal
Others,Store_Theta,434,38,Loyal
Bites,Store_Gamma,442,7,Champion
Others,Store_Beta,228,13,Champion
Cookies,Store_Theta,186,40,Champion
Sevai,Store_Theta,213,42,Loyal
Others,Store_Epsilon,80,9,Champion
Noodles,Store_Theta,396,27,Potential
Bites,Store_Zeta,275,2,Champion
Cookies,Store_Epsilon,107,5,Potential
Noodles,Store_Alpha,354,29,Loyal
Noodles,Store_Zeta,300,37,Potential
Noodles,Store_Eta,217,38,Champion
Noodles,Store_Theta,11,19,Loyal
Sevai,Store_Alpha,133,8,Loyal
Others,Store_Gamma,289,1,Champion
Hakka,Store_Beta,83,22,Potential
Sevai,Store_Theta,175,17,Champion
Sevai,Store_Delta,31,7,Champion
Cookies,Store_Alpha,163,25,Lost
Cookies,Store_Delta,436,4,Potential
Others,Store_Theta,448,36,Champion
Hakka,Store_Delta,304,6,Champion
Cookies,Store_Theta,228,31,Loyal
Others,Store_Beta,166,19,Champion
Others,Store_Gamma,239,44,Champion
Pasta,Store_Beta,29,39,At Risk
Hakka,Store_Zeta,484,27,Champion
Cookies,Store_Alpha,50,10,Champion
Hakka,Store_Delta,447,26,Champion
Sevai,Store_Beta,157,19,Lost
Sevai,Store_Theta,117,39,Potential
Hakka,Store_Beta,412,3,Champion
Pasta,Store_Beta,93,13,Potential
Pasta,Store_Alpha,492,28,Champion
Hakka,Store_Gamma,376,20,Champion
Cookies,Store_Eta,331,28,Loyal
Bites,Store_Beta,423,8,Champion
Pasta,Store_Alpha,318,41,Loyal
Noodles,Store_Delta,299,39,Lost
Sevai,Store_Theta,415,1,Champion
Hakka,Store_Zeta,332,3,At Risk
Noodles,Store_Eta,143,13,Champion
Hakka,Store_Epsilon,216,28,Champion
Others,Store_Eta,292,25,Champion
Sevai,Store_Theta,275,33,Loyal
Sevai,Store_Eta,82,38,Champion
Pasta,Store_Theta,490,6,Loyal
Pasta,Store_Alpha,361,44,Champion
Noodles,Store_Epsilon,57,32,Champion
Others,Store_Beta,335,21,Potential
Hakka,Store_Beta,242,16,Loyal
Others,Store_Eta,452,21,Loyal
Sevai,Store_Alpha,109,11,Champion
Noodles,Store_Epsilon,68,37,Lost
Bites,Store_Beta,267,36,Potential
Noodles,Store_Delta,422,35,Champion
Cookies,Store_Gamma,461,19,Champion
Noodles,Store_Gamma,74,20,Loyal
Others,Store_Beta,92,18,At Risk
Cookies,Store_Epsilon,163,41,Potential
Cookies,Store_Zeta,482,14,Champion
Cookies,Store_Beta,275,15,Champion
Bites,Store_Zeta,318,31,Loyal
Noodles,Store_Zeta,88,1,At Risk
Others,Store_Theta,324,3,Loyal
Noodles,Store_Theta,159,16,Champion
Bites,Store_Epsilon,444,23,Loyal
Sevai,Store_Zeta,57,11,Potential
Pasta,Store_Delta,414,12,Potential
Others,Store_Epsilon,388,10,Potential
Others,Store_Beta,257,32,Champion
Noodles,Store_Eta,287,16,Lost
Pasta,Store_Delta,365,8,Loyal
Hakka,Store_Alpha,107,38,Champion
Hakka,Store_Gamma,423,12,Loyal
Bites,Store_Beta,34,24,At Risk
Hakka,Store_Beta,293,28,Champion
Others,Store_Beta,458,8,Potential
Hakka,Store_Delta,378,28,Potential
Sevai,Store_Alpha,310,36,Loyal
Sevai,Store_Eta,77,26,Loyal
Sevai,Store_Epsilon,16,8,Champion
Hakka,Store_Theta,314,28,Champion
Bites,Store_Alpha,146,28,Loyal
Cookies,Store_Delta,173,37,Loyal
Cookies,Store_Beta,92,41,Lost
Pasta,Store_Gamma,394,36,At Risk
Cookies,Store_Beta,147,27,Champion
Cookies,Store_Epsilon,429,17,Champion
Sevai,Store_Zeta,82,9,Loyal
Sevai,Store_Gamma,246,33,Potential
Hakka,Store_Beta,55,20,Potential
Pasta,Store_Eta,115,13,Loyal
Noodles,Store_Gamma,425,28,Loyal
Others,Store_Zeta,297,29,Potential
Pasta,Store_Theta,271,13,Champion
Pasta,Store_Alpha,185,35,Loyal
Bites,Store_Delta,175,6,Champion
Hakka,Store_Theta,154,18,Champion
Bites,Store_Beta,339,5,Champion
Pasta,Store_Epsilon,379,25,Potential
Pasta,Store_Alpha,292,2,Potential
Pasta,Store_Theta,63,10,Champion
Cookies,Store_Beta,187,30,Lost
Others,Store_Alpha,428,5,Champion
Others,Store_Theta,253,33,Potential
Bites,Store_Epsilon,350,1,Champion
Pasta,Store_Beta,136,18,Lost
