Category,Quantity,Delivery Lead Time,Segment
Sevai,369,15,Potential
Hakka,331,43,Loyal
Bites,64,29,Champion
Noodles,465,36,Potential
Cookies,441,13,Loyal
Sevai,100,32,Lost
Bites,287,7,Loyal
Others,110,22,Lost
Others,164,28,Champion
Bites,386,2,Loyal
Bites,358,42,Loyal
Bites,460,6,At Risk
Hakka,373,28,Loyal
Bites,150,28,Loyal
Cookies,182,44,Champion
Sevai,19,44,Champion
Hakka,237,20,Champion
Bites,274,30,Loyal
Pasta,447,11,Champion
Pasta,257,28,Loyal
Sevai,256,25,Loyal
Others,164,39,Champion
Noodles,43,33,Potential
Noodles,138,1,Loyal
Others,169,27,Champion
Hakka,98,13,Champion
Hakka,102,41,At Risk
Hakka,336,3,At Risk
Noodles,250,39,Potential
Pasta,332,6,Loyal
Noodles,477,8,Loyal
Cookies,413,27,Champion
Bites,126,9,Champion
Hakka,103,37,Champion
Pasta,172,33,Potential
Sevai,108,42,Lost
Sevai,122,44,Lost
Bites,368,24,Champion
Pasta,100,15,Potential
Noodles,355,32,Champion
Noodles,215,32,Loyal
Cookies,26,24,Potential
Cookies,283,41,Loyal
Noodles,182,12,Champion
Sevai,125,39,Champion
Hakka,358,2,Potential
Sevai,477,3,Potential
Cookies,190,37,Champion
Bites,100,17,Potential
Noodles,91,2,Champion
Cookies,333,2,Champion
Cookies,458,28,Potential
Hakka,123,23,Potential
Noodles,266,37,At Risk
Hakka,67,32,Loyal
Noodles,163,33,Potential
Hakka,374,1,Champion
Sevai,413,19,Lost
Bites,125,2,Loyal
Bites,352,44,Potential
Noodles,275,26,Champion
Pasta,324,32,Champion
Others,212,6,Champion
Cookies,50,32,Champion
Cookies,114,4,Champion
Noodles,398,11,Lost
Hakka,387,17,Champion
Pasta,202,38,Champion
Sevai,410,24,Champion
Hakka,287,5,Loyal
Hakka,363,34,Loyal
Noodles,246,6,Champion
Noodles,434,22,Champion
Cookies,230,11,Loyal
Noodles,77,16,Champion
Noodles,206,33,Champion
Noodles,265,9,Champion
Cookies,148,6,Champion
Sevai,321,16,Loyal
Sevai,444,29,Lost
Others,158,3,Lost
Others,108,20,Potential
Noodles,85,36,Loyal
Others,291,19,Potential
Cookies,380,26,Potential
Sevai,412,3,Potential
Hakka,118,19,Loyal
Sevai,197,20,Champion
Sevai,208,32,Lost
Cookies,312,7,Champion
Others,336,41,Champion
Hakka,163,33,Champion
Cookies,49,40,Champion
Noodles,142,39,Loyal
Bites,414,18,Champion
Sevai,471,40,Loyal
Bites,141,1,Champion
Cookies,288,11,Champion
Cookies,371,28,Champion
Cookies,93,25,Loyal
Bites,408,23,Potential
Cookies,251,31,Potential
Noodles,125,30,Loyal
Cookies,118,42,Loyal
Pasta,230,35,Loyal
Others,401,7,Lost
Bites,50,16,Champion
Pasta,377,26,Champion
Cookies,156,2,Loyal
Noodles,121,1,Champion
Sevai,112,12,Lost
Hakka,55,5,Potential
Others,421,37,Champion
Hakka,484,32,Loyal
Cookies,333,9,Loyal
Others,387,41,Loyal
Others,280,35,Champion
Noodles,492,19,Loyal
Others,430,16,Champion
Bites,394,3,Champion
Pasta,204,20,Lost
Pasta,376,24,Champion
Pasta,289,33,Lost
Bites,292,24,Potential
Hakka,49,11,Loyal
Noodles,456,8,Potential
Others,198,36,Champion
Bites,173,38,Champion
Pasta,491,40,Champion
Cookies,486,20,At Risk
Sevai,33,35,Champion
Others,33,25,Champion
Bites,499,35,Lost
Bites,13,25,Loyal
Noodles,332,29,Potential
Noodles,299,18,Potential
Bites,450,18,Lost
Pasta,442,2,At Risk
Sevai,480,35,At Risk
Others,190,16,Loyal
Noodles,257,41,Potential
Others,125,36,Champion
Pasta,288,33,Champion
Others,374,4,Loyal
Cookies,78,33,Potential
Noodles,360,14,At Risk
Pasta,263,21,Lost
Pasta,190,20,Champion
Sevai,327,8,Loyal
Sevai,178,7,Champion
Cookies,322,3,Potential
Pasta,258,17,Potential
Hakka,197,33,Champion
Pasta,63,12,Loyal
Sevai,335,22,Champion
Hakka,366,22,Champion
Noodles,322,30,Lost
Noodles,147,38,Champion
Others,177,38,Champion
Bites,400,8,Champion
Sevai,112,27,Loyal
Bites,431,27,At Risk
Hakka,94,34,Champion
Sevai,326,21,Champion
Cookies,221,30,Champion
Pasta,12,33,Potential
Cookies,393,28,Potential
Hakka,188,33,Potential
Sevai,351,5,Champion
Hakka,312,19,Champion
Pasta,461,4,Loyal
Noodles,485,35,Potential
Noodles,341,17,Loyal
Hakka,47,44,Champion
Bites,429,28,Lost
Sevai,248,30,Lost
Sevai,178,29,Champion
Noodles,462,6,Champion
Others,406,35,Loyal
Cookies,352,41,Potential
Others,323,37,Potential
Pasta,315,24,Loyal
Cookies,39,29,Champion
Cookies,199,31,Lost
Hakka,366,35,Lost
Noodles,34,33,Loyal
Others,121,21,Champion
Others,420,32,Loyal
Noodles,444,23,Loyal
Others,215,33,Lost
Noodles,194,3,Potential
Hakka,391,18,Potential
Bites,388,25,Loyal
Cookies,56,42,Lost
Hakka,383,31,Champion
Sevai,237,3,Champion
Pasta,48,40,Champion
Bites,25,24,Loyal
Sevai,31,32,Potential
Cookies,222,22,Champion
Others,319,23,Loyal
Noodles,158,2,Loyal
Cookies,465,27,Loyal
Hakka,250,42,Loyal
Pasta,281,2,Champion
Hakka,68,26,Lost
Bites,296,17,Loyal
Bites,435,40,Loyal
Pasta,211,33,Champion
Sevai,41,9,Potential
Sevai,452,43,Champion
Bites,171,39,Champion
Bites,264,29,Champion
Others,263,42,Champion
Noodles,18,26,Loyal
Others,474,35,Potential
Others,148,25,Champion
Sevai,489,24,Champion
Pasta,19,13,Potential
Sevai,223,7,Potential
Noodles,282,36,Loyal
Hakka,333,20,Champion
Bites,57,1,Loyal
Bites,445,8,Loyal
Noodles,120,16,Potential
Others,162,14,Lost
Pasta,132,12,At Risk
Bites,414,23,Champion
Cookies,366,15,Loyal
Others,111,28,Loyal
Bites,250,34,Potential
Cookies,330,2,Champion
Noodles,200,32,Champion
Noodles,226,23,Potential
Others,60,22,Potential
Bites,301,25,Lost
Sevai,90,22,Loyal
Cookies,498,22,Potential
Pasta,392,42,Lost
Bites,97,6,Champion
Pasta,203,15,Champion
Bites,113,43,Champion
Sevai,280,37,At Risk
Sevai,105,33,Loyal
Others,432,8,Champion
Others,388,44,Loyal
Sevai,207,44,Potential
Hakka,10,5,Loyal
Sevai,416,39,Loyal
Noodles,387,4,Champion
Noodles,176,6,Lost
Hakka,135,32,Loyal
Cookies,322,30,Loyal
Pasta,90,35,Potential
Bites,427,40,Champion
Bites,260,16,Lost
Hakka,178,13,Loyal
Noodles,486,42,Champion
Others,82,30,Loyal
Bites,150,19,Loyal
Noodles,79,17,Potential
Cookies,271,19,Champion
Pasta,349,28,Potential
Cookies,317,26,Champion
Hakka,254,37,Champion
Sevai,12,26,Champion
Sevai,346,23,At Risk
Sevai,72,9,Champion
Cookies,58,12,Champion
Bites,85,1,Champion
Pasta,377,1,Champion
Sevai,184,34,Champion
Hakka,118,32,Lost
Hakka,192,25,Champion
Sevai,201,40,Lost
Sevai,74,1,Loyal
Pasta,346,16,Potential
Sevai,460,39,Lost
Pasta,483,5,Loyal
Hakka,280,22,At Risk
Sevai,109,29,Champion
Cookies,41,3,Lost
Others,361,12,Potential
Cookies,137,26,Champion
Hakka,461,16,Loyal
Pasta,411,37,Champion
Cookies,378,22,Loyal
Pasta,348,29,Loyal
Cookies,52,14,Loyal
Cookies,381,28,Champion
Pasta,428,5,Potential
Bites,497,30,Loyal
Cookies,87,5,Loyal
Sevai,323,12,Champion
Others,298,16,Loyal
Hakka,279,26,Loyal
Bites,171,26,Loyal
Pasta,198,21,Lost
Bites,256,39,Potential
Noodles,397,36,Champion
Noodles,225,33,Potential
Cookies,324,30,Champion
Cookies,422,37,Potential
Sevai,348,23,Potential
Others,399,10,Champion
Hakka,386,5,Champion
Bites,490,36,Loyal
Noodles,442,34,Champion
Cookies,177,31,Lost
Hakka,348,10,Champion
Bites,202,19,Lost
Cookies,462,32,At Risk
Cookies,292,1,Loyal
Noodles,345,5,Potential
Noodles,399,4,Potential
Cookies,497,16,At Risk
Pasta,22,24,At Risk
Cookies,249,16,Potential
Hakka,329,2,Loyal
Cookies,455,28,Potential
Sevai,492,32,Loyal
Others,156,27,Potential
Sevai,213,20,Lost
Sevai,89,24,Champion
Pasta,388,12,Champion
Pasta,52,35,Champion
Cookies,467,33,Champion
Sevai,98,33,Champion
Pasta,157,43,Potential
Noodles,104,37,Lost
Cookies,461,12,Lost
Hakka,437,3,Loyal
Others,160,1,Lost
Bites,11,33,Potential
Cookies,385,40,Champion
Bites,31,10,Loyal
Sevai,380,43,Champion
Others,322,44,Lost
Bites,494,29,Champion
Sevai,337,13,Potential
Noodles,16,12,Champion
Bites,215,31,Potential
Others,449,2,Loyal
Cookies,384,35,Champion
Sevai,460,23,Champion
Cookies,123,17,Loyal
Others,281,26,Potential
Pasta,92,8,Loyal
Sevai,188,29,Potential
Bites,219,26,Champion
Sevai,473,10,Champion
Cookies,337,26,Loyal
Noodles,133,34,Loyal
Sevai,490,41,Lost
Bites,122,7,Champion
Pasta,21,4,Potential
Hakka,135,11,At Risk
Noodles,62,29,Loyal
Pasta,340,36,Champion
Sevai,398,25,Potential
Cookies,292,21,At Risk
Others,149,36,Lost
Cookies,410,10,Champion
Bites,399,37,Potential
Cookies,106,9,Loyal
Noodles,14,24,At Risk
Cookies,66,35,At Risk
Bites,421,35,Loyal
Hakka,343,36,Champion
Sevai,78,18,Loyal
Others,127,39,Champion
Sevai,385,32,Potential
Cookies,68,24,Champion
Pasta,42,23,Loyal
Sevai,327,32,Champion
Hakka,59,37,At Risk
Cookies,377,12,Champion
Others,498,13,Champion
Bites,28,23,Loyal
Hakka,223,25,At Risk
Cookies,206,35,Potential
Hakka,388,41,Champion
Sevai,459,30,Loyal
Others,487,17,Loyal
Bites,56,20,Loyal
Cookies,176,25,Champion
Noodles,461,22,Lost
Bites,298,13,Champion
Noodles,150,19,Lost
Hakka,93,36,Champion
Pasta,191,12,Potential
Bites,400,41,Potential
Hakka,88,19,Loyal
Noodles,224,12,Champion
Sevai,23,9,Champion
Sevai,224,7,Loyal
Pasta,412,28,Champion
Bites,137,14,Champion
Bites,319,31,At Risk
Bites,486,19,Champion
Hakka,257,16,Potential
Others,413,5,Champion
Others,38,35,Potential
Pasta,289,12,Champion
Bites,347,25,Lost
Hakka,328,21,Champion
Sevai,211,36,Champion
Noodles,370,23,Champion
Hakka,66,16,Champion
Others,401,39,Loyal
Others,227,42,Loyal
Sevai,71,39,Loyal
Sevai,166,14,Lost
Noodles,211,31,Loyal
Sevai,26,5,Loyal
Pasta,331,35,Potential
Noodles,15,23,Champion
Sevai,67,29,Champion
Cookies,334,43,Loyal
Hakka,421,11,At Risk
Sevai,327,18,Lost
Pasta,178,12,Lost
Bites,462,9,Champion
Sevai,91,10,Potential
Others,483,44,Loyal
Others,477,17,Loyal
Others,434,38,Loyal
Bites,442,7,Champion
Others,228,13,Champion
Cookies,186,40,Champion
Sevai,213,42,Loyal
Others,80,9,Champion
Noodles,396,27,Potential
Bites,275,2,Champion
Cookies,107,5,Potential
Noodles,354,29,Loyal
Noodles,300,37,Potential
Noodles,217,38,Champion
Noodles,11,19,Loyal
Sevai,133,8,Loyal
Others,289,1,Champion
Hakka,83,22,Potential
Sevai,175,17,Champion
Sevai,31,7,Champion
Cookies,163,25,Lost
Cookies,436,4,Potential
Others,448,36,Champion
Hakka,304,6,Champion
Cookies,228,31,Loyal
Others,166,19,Champion
Others,239,44,Champion
Pasta,29,39,At Risk
Hakka,484,27,Champion
Cookies,50,10,Champion
Hakka,447,26,Champion
Sevai,157,19,Lost
Sevai,117,39,Potential
Hakka,412,3,Champion
Pasta,93,13,Potential
Pasta,492,28,Champion
Hakka,376,20,Champion
Cookies,331,28,Loyal
Bites,423,8,Champion
Pasta,318,41,Loyal
Noodles,299,39,Lost
Sevai,415,1,Champion
Hakka,332,3,At Risk
Noodles,143,13,Champion
Hakka,216,28,Champion
Others,292,25,Champion
Sevai,275,33,Loyal
Sevai,82,38,Champion
Pasta,490,6,Loyal
Pasta,361,44,Champion
Noodles,57,32,Champion
Others,335,21,Potential
Hakka,242,16,Loyal
Others,452,21,Loyal
Sevai,109,11,Champion
Noodles,68,37,Lost
Bites,267,36,Potential
Noodles,422,35,Champion
Cookies,461,19,Champion
Noodles,74,20,Loyal
Others,92,18,At Risk
Cookies,163,41,Potential
Cookies,482,14,Champion
Cookies,275,15,Champion
Bites,318,31,Loyal
Noodles,88,1,At Risk
Others,324,3,Loyal
Noodles,159,16,Champion
Bites,444,23,Loyal
Sevai,57,11,Potential
Pasta,414,12,Potential
Others,388,10,Potential
Others,257,32,Champion
Noodles,287,16,Lost
Pasta,365,8,Loyal
Hakka,107,38,Champion
Hakka,423,12,Loyal
Bites,34,24,At Risk
Hakka,293,28,Champion
Others,458,8,Potential
Hakka,378,28,Potential
Sevai,310,36,Loyal
Sevai,77,26,Loyal
Sevai,16,8,Champion
Hakka,314,28,Champion
Bites,146,28,Loyal
Cookies,173,37,Loyal
Cookies,92,41,Lost
Pasta,394,36,At Risk
Cookies,147,27,Champion
Cookies,429,17,Champion
Sevai,82,9,Loyal
Sevai,246,33,Potential
Hakka,55,20,Potential
Pasta,115,13,Loyal
Noodles,425,28,Loyal
Others,297,29,Potential
Pasta,271,13,Champion
Pasta,185,35,Loyal
Bites,175,6,Champion
Hakka,154,18,Champion
Bites,339,5,Champion
Pasta,379,25,Potential
Pasta,292,2,Potential
Pasta,63,10,Champion
Cookies,187,30,Lost
Others,428,5,Champion
Others,253,33,Potential
Bites,350,1,Champion
Pasta,136,18,Lost
Others,418,32,Lost
Sevai,421,11,Loyal
Others,376,21,Lost
Hakka,280,26,Potential
Hakka,141,25,Potential
Others,102,22,Loyal
Sevai,388,27,Potential
Hakka,82,13,Lost
Cookies,420,33,Champion
Others,419,34,At Risk
Cookies,412,41,Loyal
Others,257,35,Loyal
Noodles,357,1,Champion
Noodles,282,21,Champion
Noodles,52,6,Champion
Hakka,386,28,Loyal
Cookies,50,17,At Risk
Cookies,179,5,Loyal
Cookies,443,31,Loyal
Sevai,221,5,Loyal
Cookies,177,38,Champion
Sevai,48,3,Lost
Noodles,378,23,Potential
Noodles,254,37,Potential
Hakka,160,37,Loyal
Others,120,10,Champion
Noodles,489,10,Champion
Others,445,19,Champion
Others,56,17,Loyal
Hakka,72,21,Potential
Pasta,234,14,Champion
Pasta,375,9,Potential
Bites,78,1,Champion
Hakka,308,13,Loyal
Bites,441,4,Champion
Bites,299,1,Loyal
Pasta,305,40,Lost
Hakka,212,32,Champion
Pasta,70,34,Loyal
Bites,443,28,At Risk
Hakka,460,31,Champion
Bites,327,8,Loyal
Cookies,323,39,Champion
Others,170,26,Champion
Hakka,340,34,Potential
Hakka,25,3,Potential
Others,347,12,At Risk
Bites,103,1,Champion
Cookies,313,44,Champion
Sevai,147,5,Potential
Others,347,30,Loyal
Pasta,47,30,Champion
Bites,136,17,Champion
Others,284,23,Loyal
Others,173,15,Champion
Hakka,452,37,Lost
Pasta,328,21,Lost
Pasta,86,14,Loyal
Pasta,183,2,Loyal
Others,396,11,Champion
Sevai,467,39,Lost
Noodles,367,38,Loyal
Bites,330,34,Potential
Noodles,385,38,Loyal
Others,100,34,Champion
Noodles,247,18,Champion
Others,273,30,Potential
Noodles,188,15,Loyal
Pasta,499,27,Champion
Cookies,218,34,Loyal
Pasta,82,38,Potential
Pasta,399,33,Lost
Hakka,116,24,Loyal
Hakka,354,15,Lost
Noodles,304,30,Champion
Others,378,42,Loyal
Pasta,453,17,Champion
Noodles,293,5,Loyal
Hakka,362,29,Potential
Cookies,191,4,Potential
Bites,46,10,Loyal
Noodles,146,17,Champion
Cookies,347,10,Potential
Bites,65,17,Lost
Sevai,196,20,Champion
Noodles,350,24,At Risk
Noodles,267,5,Champion
Sevai,454,34,Champion
Sevai,67,6,Lost
Noodles,372,2,Champion
Sevai,132,13,Champion
Pasta,197,43,Champion
Bites,239,43,Lost
Bites,177,11,Lost
Bites,429,23,Champion
Pasta,123,16,Champion
Others,261,31,Champion
Sevai,116,11,Champion
Cookies,46,16,Loyal
Sevai,344,8,Potential
Noodles,101,4,Champion
Hakka,27,40,Champion
Bites,363,4,Loyal
Sevai,72,25,Loyal
Cookies,159,3,Lost
Noodles,148,32,Champion
Pasta,195,3,Loyal
Others,194,27,Champion
Pasta,214,29,Champion
Cookies,269,32,Loyal
Noodles,223,19,Champion
Bites,265,21,Champion
Sevai,144,5,Champion
Noodles,70,18,Champion
Others,372,28,Champion
Pasta,319,42,At Risk
Others,97,22,Champion
Others,333,21,Champion
Cookies,485,6,Loyal
Cookies,216,1,Champion
Sevai,138,5,Potential
Cookies,320,41,Loyal
Cookies,12,12,Potential
Noodles,471,26,Loyal
Bites,431,34,Champion
Sevai,251,14,Potential
Noodles,130,26,Champion
Bites,394,27,Champion
Others,111,9,Loyal
Noodles,47,26,Potential
Hakka,350,22,Loyal
Noodles,422,30,Lost
Cookies,142,43,Loyal
Bites,211,17,Lost
Sevai,357,26,Champion
Sevai,30,36,Potential
Bites,251,1,Champion
Cookies,464,8,Lost
Pasta,460,35,Loyal
Noodles,118,15,Loyal
Cookies,312,22,Champion
Hakka,93,14,Loyal
Others,92,26,Loyal
Bites,300,28,Lost
Noodles,461,23,At Risk
Sevai,78,14,Champion
Others,138,24,Lost
Pasta,205,2,Champion
Hakka,149,26,Champion
Sevai,453,14,Potential
Bites,292,7,Potential
Noodles,321,3,At Risk
Bites,243,23,Champion
Others,32,43,Potential
Noodles,162,18,Loyal
Cookies,286,38,Loyal
Pasta,70,35,Loyal
Cookies,328,15,At Risk
Cookies,387,25,Potential
Bites,61,37,Potential
Others,353,28,Champion
Pasta,162,10,Champion
Noodles,246,39,Loyal
Noodles,320,17,Champion
Hakka,311,39,Champion
Sevai,41,22,Potential
Hakka,64,26,Champion
Hakka,361,44,Loyal
Noodles,398,25,Loyal
Bites,45,17,Loyal
Cookies,119,13,Champion
Others,499,20,Lost
Cookies,186,25,Champion
Cookies,371,4,Potential
Pasta,323,10,Champion
Noodles,304,3,Champion
Others,345,41,Loyal
Bites,106,18,Lost
Pasta,378,36,Potential
Sevai,222,22,Loyal
Bites,326,34,Champion
Hakka,146,8,Champion
Bites,15,40,Champion
Bites,118,44,Lost
Cookies,44,19,Champion
Bites,48,42,Champion
Hakka,159,41,Loyal
Hakka,434,37,Loyal
Noodles,127,6,Loyal
Bites,270,26,Loyal
Cookies,435,34,Potential
Bites,96,6,Potential
Sevai,474,37,Loyal
Sevai,85,33,Lost
Cookies,480,22,Loyal
Noodles,473,21,Champion
Noodles,460,6,Loyal
Hakka,423,6,Champion
Hakka,322,4,Champion
Pasta,392,30,Champion
Cookies,223,11,Champion
Bites,466,30,At Risk
Others,294,31,Loyal
Cookies,248,24,Loyal
Pasta,174,9,Loyal
Hakka,96,3,Champion
Cookies,150,31,Loyal
Cookies,169,40,Lost
Hakka,55,37,Champion
Pasta,381,36,Champion
Hakka,121,24,Champion
Noodles,416,31,Loyal
Bites,54,6,Loyal
Hakka,410,2,Champion
Pasta,256,20,Champion
Sevai,113,28,Loyal
Noodles,94,11,Loyal
Sevai,459,4,At Risk
Others,494,15,Loyal
Hakka,143,6,Potential
Noodles,117,30,Potential
Bites,27,38,Champion
Hakka,103,2,Loyal
Bites,159,15,Loyal
Cookies,255,11,Potential
Sevai,298,8,Champion
Noodles,423,26,Potential
Bites,218,44,Lost
Pasta,135,5,Potential
Bites,244,6,Loyal
Pasta,425,26,Loyal
Hakka,435,4,Lost
Noodles,471,19,Loyal
Bites,131,20,Loyal
Others,147,33,Potential
Bites,124,20,Champion
Others,429,12,Lost
Noodles,171,1,Potential
Bites,210,26,Loyal
Pasta,243,14,Lost
Bites,37,38,Champion
Sevai,20,37,Champion
Hakka,215,11,Champion
Cookies,176,36,Loyal
Pasta,256,13,Champion
Sevai,56,43,Loyal
Others,255,3,Champion
Hakka,136,33,Champion
Noodles,156,6,Potential
Pasta,127,10,Potential
Cookies,408,5,Loyal
Hakka,391,23,Champion
Others,421,10,Champion
Cookies,161,44,Loyal
Noodles,81,2,Potential
Noodles,372,13,Potential
Others,146,40,Loyal
Pasta,184,2,Champion
Others,298,20,Loyal
Bites,455,1,Champion
Noodles,490,37,Loyal
Hakka,28,9,At Risk
Bites,204,17,Potential
Sevai,339,9,Champion
Cookies,433,11,Champion
Bites,184,15,Lost
Cookies,499,24,Champion
Others,458,38,Loyal
Bites,422,35,Champion
Others,443,30,Lost
Sevai,363,31,Champion
Noodles,150,5,Potential
Sevai,255,44,Lost
Noodles,394,14,Lost
Others,427,11,Lost
Noodles,102,9,Loyal
Cookies,441,34,Champion
Hakka,248,12,Potential
Sevai,214,35,Potential
Bites,57,35,Champion
Sevai,442,1,Loyal
Cookies,254,40,Potential
Noodles,329,22,Potential
Cookies,326,29,Loyal
Pasta,422,8,Champion
Pasta,304,11,Loyal
Bites,137,41,Champion
Cookies,353,37,Loyal
Others,291,14,Champion
Bites,26,30,Champion
Others,80,35,Champion
Bites,278,21,Potential
Pasta,334,37,Lost
Bites,291,5,Loyal
Pasta,314,19,Loyal
Noodles,460,14,Lost
Others,16,26,Loyal
Cookies,323,4,At Risk
Bites,314,25,Lost
Pasta,112,42,Champion
Sevai,318,25,At Risk
Others,202,18,Loyal
Bites,250,40,Champion
Hakka,71,8,Champion
Noodles,26,39,Champion
Noodles,180,40,Lost
Sevai,34,14,Loyal
Pasta,260,32,Champion
Bites,262,38,Champion
Others,396,33,Potential
Pasta,216,23,Champion
Noodles,38,15,Champion
Pasta,126,33,Lost
Noodles,425,25,Loyal
Pasta,291,17,Potential
Sevai,389,33,Champion
Cookies,153,2,Potential
Sevai,34,14,Potential
Sevai,319,40,Loyal
Cookies,165,40,Champion
