Delivey Lead Time,City Tier,Carrier,Category,Quantity,Order Date,Price
12,Tier-1,courier,Noodles,182,45109,136.12
39,Tier-1,vrl,Sevai,125,45268,59.33
2,Tier-3,courier,Hakka,358,45410,84.73
3,Tier-1,SELF,Sevai,477,45355,12.33
37,Tier-1,SELF,Cookies,190,45390,66.79
17,Tier-2,akr express,Bites,100,45277,125.69
2,Tier-3,courier,Noodles,91,45073,121.82
2,Tier-3,DTDC,Cookies,333,45486,37.53
28,Tier-1,dtdc,Cookies,458,45436,37.78
23,Tier-3,self,Hakka,123,45462,123.51
37,Tier-2,SELF,Noodles,266,45206,139.91
32,Tier-2,safe express,Hakka,67,45387,18.83
33,Tier-2,dtdc,Noodles,163,45479,70.26
1,Tier-3,VRL,Hakka,374,45278,53.93
19,Tier-3,courier,Sevai,413,45374,131.25
2,Tier-3,vrl,Bites,125,45325,17.11
44,Tier-3,self,Bites,352,45471,35.61
26,Tier-3,safe express,Noodles,275,45339,114.11
32,Tier-2,dtdc,Pasta,324,45356,12.44
6,Tier-1,courier,Others,212,45339,76.42
32,Tier-2,akr express,Cookies,50,45203,69.11
4,Tier-3,VRL,Cookies,114,45160,53.49
11,Tier-2,self,Noodles,398,45027,62.21
17,Tier-3,DTDC,Hakka,387,45391,81.84
38,Tier-3,akr express,Pasta,202,45256,28.4
24,Tier-2,safe express,Sevai,410,45164,87.94
5,Tier-3,self,Hakka,287,45062,121.79
34,Tier-1,akr express,Hakka,363,45021,115.22
6,Tier-3,VRL,Noodles,246,45069,27.32
22,Tier-1,DTDC,Noodles,434,45380,26.64
11,Tier-1,akr express,Cookies,230,45404,43.89
16,Tier-3,kerry,Noodles,77,45095,57.36
33,Tier-2,DTDC,Noodles,206,45162,64.23
9,Tier-1,safe express,Noodles,265,45078,103.56
6,Tier-2,VRL,Cookies,148,45004,13.22
16,Tier-1,courier,Sevai,321,45315,10.03
29,Tier-3,vrl,Sevai,444,45119,61.83
3,Tier-3,vrl,Others,158,45301,106.09
20,Tier-1,vrl,Others,108,45177,33.05
36,Tier-3,self,Noodles,85,45175,98.02
19,Tier-1,safe express,Others,291,45389,42.68
26,Tier-3,VRL,Cookies,380,45216,133.48
3,Tier-2,DTDC,Sevai,412,45055,134.88
19,Tier-3,self,Hakka,118,45365,48.11
20,Tier-2,safe express,Sevai,197,45186,38.35
32,Tier-3,courier,Sevai,208,45231,64.64
7,Tier-2,kerry,Cookies,312,45254,39.88
41,Tier-3,VRL,Others,336,45412,102.5
33,Tier-2,vrl,Hakka,163,45454,124.78
40,Tier-1,akr express,Cookies,49,45103,102.6
39,Tier-1,VRL,Noodles,142,45076,124.53
18,Tier-2,SELF,Bites,414,45229,62.56
40,Tier-3,safe express,Sevai,471,45401,27.67
1,Tier-2,dtdc,Bites,141,45257,112.0
11,Tier-3,courier,Cookies,288,45263,57.27
28,Tier-1,kerry,Cookies,371,45330,102.33
25,Tier-3,courier,Cookies,93,45480,44.24
23,Tier-1,VRL,Bites,408,45181,16.78
31,Tier-3,dtdc,Cookies,251,45380,148.92
30,Tier-3,SELF,Noodles,125,45255,27.65
42,Tier-3,DTDC,Cookies,118,45037,148.32
35,Tier-2,akr express,Pasta,230,45175,146.71
7,Tier-2,dtdc,Others,401,45026,120.1
16,Tier-1,safe express,Bites,50,45275,100.62
26,Tier-1,vrl,Pasta,377,45139,88.78
2,Tier-2,SELF,Cookies,156,45298,130.58
1,Tier-1,akr express,Noodles,121,45444,46.97
12,Tier-2,kerry,Sevai,112,45286,72.81
5,Tier-3,vrl,Hakka,55,45090,94.81
37,Tier-1,VRL,Others,421,45479,64.62
32,Tier-1,dtdc,Hakka,484,45060,66.99
9,Tier-2,akr express,Cookies,333,45457,52.89
41,Tier-1,self,Others,387,45450,86.81
35,Tier-1,DTDC,Others,280,45364,128.33
19,Tier-3,DTDC,Noodles,492,45346,34.22
16,Tier-1,SELF,Others,430,45162,140.49
3,Tier-3,kerry,Bites,394,45350,104.92
20,Tier-2,SELF,Pasta,204,45142,124.37
24,Tier-1,self,Pasta,376,45399,85.65
33,Tier-3,safe express,Pasta,289,45252,118.03
24,Tier-2,kerry,Bites,292,45268,7.35
11,Tier-1,courier,Hakka,49,45368,123.67
8,Tier-2,safe express,Noodles,456,45290,10.82
36,Tier-1,kerry,Others,198,45499,134.04
38,Tier-2,kerry,Bites,173,45458,148.83
40,Tier-2,self,Pasta,491,45186,47.64
20,Tier-3,VRL,Cookies,486,45404,35.5
35,Tier-2,self,Sevai,33,45498,115.98
25,Tier-1,kerry,Others,33,45437,41.69
35,Tier-1,akr express,Bites,499,45458,130.51
25,Tier-3,safe express,Bites,13,45413,19.91
29,Tier-1,self,Noodles,332,45303,23.26
18,Tier-1,VRL,Noodles,299,45290,146.98
18,Tier-1,dtdc,Bites,450,45085,102.71
2,Tier-2,SELF,Pasta,442,45165,127.8
35,Tier-2,kerry,Sevai,480,45414,52.03
16,Tier-1,courier,Others,190,45461,103.09
41,Tier-3,dtdc,Noodles,257,45407,91.17
36,Tier-2,DTDC,Others,125,45113,92.46
33,Tier-3,vrl,Pasta,288,45432,103.97
4,Tier-1,VRL,Others,374,45479,88.43
33,Tier-1,courier,Cookies,78,45355,67.21
14,Tier-2,vrl,Noodles,360,45415,45.01
21,Tier-1,VRL,Pasta,263,45182,116.44
20,Tier-2,akr express,Pasta,190,45206,37.81
8,Tier-1,SELF,Sevai,327,45255,105.39
7,Tier-1,dtdc,Sevai,178,45234,38.83
3,Tier-2,safe express,Cookies,322,45441,95.67
17,Tier-2,VRL,Pasta,258,45354,113.33
33,Tier-2,safe express,Hakka,197,45002,36.71
12,Tier-1,SELF,Pasta,63,45207,13.69
22,Tier-1,kerry,Sevai,335,45196,23.99
22,Tier-3,DTDC,Hakka,366,45340,92.87
30,Tier-2,dtdc,Noodles,322,45124,128.17
38,Tier-1,SELF,Noodles,147,45137,11.52
38,Tier-1,SELF,Others,177,45338,111.45
8,Tier-2,akr express,Bites,400,45024,54.49
27,Tier-3,vrl,Sevai,112,45067,74.39
27,Tier-2,DTDC,Bites,431,45060,139.68
34,Tier-3,dtdc,Hakka,94,45028,53.14
21,Tier-1,kerry,Sevai,326,45382,72.47
30,Tier-3,kerry,Cookies,221,45018,6.98
33,Tier-1,self,Pasta,12,45170,16.83
28,Tier-2,SELF,Cookies,393,45449,42.5
33,Tier-2,VRL,Hakka,188,45073,9.04
5,Tier-2,akr express,Sevai,351,45060,96.55
19,Tier-3,DTDC,Hakka,312,45426,66.83
4,Tier-1,kerry,Pasta,461,45152,84.48
35,Tier-2,dtdc,Noodles,485,45275,30.32
17,Tier-2,self,Noodles,341,45047,47.91
44,Tier-1,dtdc,Hakka,47,45210,101.25
28,Tier-2,akr express,Bites,429,45342,144.97
30,Tier-1,VRL,Sevai,248,45407,12.31
29,Tier-1,self,Sevai,178,45138,134.11
6,Tier-1,self,Noodles,462,45109,88.65
35,Tier-1,vrl,Others,406,45481,86.77
41,Tier-1,DTDC,Cookies,352,45182,77.54
37,Tier-3,self,Others,323,45027,15.06
24,Tier-2,vrl,Pasta,315,45196,18.03
29,Tier-3,vrl,Cookies,39,45190,92.13
31,Tier-2,akr express,Cookies,199,45314,54.44
35,Tier-3,safe express,Hakka,366,45388,138.0
33,Tier-1,dtdc,Noodles,34,45050,63.96
21,Tier-2,VRL,Others,121,45148,25.78
32,Tier-2,courier,Others,420,45267,108.63
23,Tier-3,dtdc,Noodles,444,45049,47.54
33,Tier-3,self,Others,215,45387,81.19
3,Tier-2,VRL,Noodles,194,45245,106.19
18,Tier-3,kerry,Hakka,391,45112,135.54
25,Tier-3,safe express,Bites,388,45169,119.87
42,Tier-3,kerry,Cookies,56,45467,103.07
31,Tier-1,kerry,Hakka,383,45165,103.55
3,Tier-1,DTDC,Sevai,237,45408,142.16
40,Tier-3,dtdc,Pasta,48,45013,47.89
24,Tier-3,courier,Bites,25,45202,5.16
32,Tier-1,akr express,Sevai,31,45287,44.43
22,Tier-1,courier,Cookies,222,45394,36.59
23,Tier-2,kerry,Others,319,45188,100.97
2,Tier-2,self,Noodles,158,45401,96.89
27,Tier-1,safe express,Cookies,465,45154,91.05
42,Tier-3,SELF,Hakka,250,45054,7.36
2,Tier-3,courier,Pasta,281,45181,110.67
26,Tier-3,kerry,Hakka,68,45209,51.91
17,Tier-3,safe express,Bites,296,45375,101.43
40,Tier-2,VRL,Bites,435,45470,85.7
33,Tier-1,dtdc,Pasta,211,45074,54.7
9,Tier-3,vrl,Sevai,41,45276,24.51
43,Tier-2,DTDC,Sevai,452,45427,18.69
39,Tier-3,safe express,Bites,171,45132,125.57
29,Tier-1,self,Bites,264,45342,138.17
42,Tier-2,self,Others,263,45424,99.22
26,Tier-1,safe express,Noodles,18,45058,20.0
35,Tier-1,self,Others,474,45344,63.29
25,Tier-2,dtdc,Others,148,45488,110.7
24,Tier-2,self,Sevai,489,45181,118.07
13,Tier-2,courier,Pasta,19,45457,22.14
7,Tier-2,vrl,Sevai,223,45405,5.0
36,Tier-2,self,Noodles,282,45338,108.26
20,Tier-2,vrl,Hakka,333,45320,56.71
1,Tier-2,kerry,Bites,57,45063,41.9
8,Tier-3,akr express,Bites,445,45326,6.87
16,Tier-1,dtdc,Noodles,120,45259,83.34
14,Tier-2,akr express,Others,162,45192,128.42
12,Tier-3,kerry,Pasta,132,45142,143.86
23,Tier-3,dtdc,Bites,414,45103,87.03
15,Tier-3,safe express,Cookies,366,45459,79.6
28,Tier-1,safe express,Others,111,45405,17.33
34,Tier-2,vrl,Bites,250,45213,84.59
2,Tier-3,kerry,Cookies,330,45241,60.1
32,Tier-1,vrl,Noodles,200,45430,93.03
23,Tier-1,DTDC,Noodles,226,45208,61.37
22,Tier-1,self,Others,60,45092,39.84
25,Tier-3,SELF,Bites,301,45429,18.77
22,Tier-2,DTDC,Sevai,90,45141,50.66
22,Tier-3,self,Cookies,498,45433,19.01
42,Tier-3,dtdc,Pasta,392,45403,30.65
6,Tier-2,vrl,Bites,97,45433,148.16
15,Tier-2,dtdc,Pasta,203,45111,69.4
43,Tier-2,dtdc,Bites,113,45416,82.12
37,Tier-1,self,Sevai,280,45374,131.67
33,Tier-2,kerry,Sevai,105,45058,149.36
8,Tier-3,self,Others,432,45042,89.49
44,Tier-2,VRL,Others,388,45206,122.81
44,Tier-3,safe express,Sevai,207,45267,52.41
5,Tier-1,safe express,Hakka,10,45295,49.33
39,Tier-3,DTDC,Sevai,416,45117,63.39
4,Tier-3,safe express,Noodles,387,45019,102.51
6,Tier-2,self,Noodles,176,45221,103.92
32,Tier-2,courier,Hakka,135,45165,50.71
30,Tier-3,vrl,Cookies,322,45130,24.32
35,Tier-2,self,Pasta,90,45155,96.7
40,Tier-1,self,Bites,427,45183,23.61
16,Tier-1,SELF,Bites,260,45089,88.88
13,Tier-2,vrl,Hakka,178,45093,105.55
42,Tier-1,VRL,Noodles,486,45012,106.59
30,Tier-2,safe express,Others,82,45460,114.25
19,Tier-3,vrl,Bites,150,45321,131.56
17,Tier-3,safe express,Noodles,79,45292,77.49
19,Tier-1,DTDC,Cookies,271,45432,110.89
28,Tier-2,vrl,Pasta,349,45229,94.78
26,Tier-2,safe express,Cookies,317,45321,32.06
37,Tier-1,VRL,Hakka,254,45291,8.72
26,Tier-3,akr express,Sevai,12,45437,46.26
23,Tier-1,dtdc,Sevai,346,45025,69.24
9,Tier-3,dtdc,Sevai,72,45074,94.48
12,Tier-2,VRL,Cookies,58,45455,128.24
1,Tier-3,SELF,Bites,85,45363,33.46
1,Tier-1,akr express,Pasta,377,45423,23.2
34,Tier-2,DTDC,Sevai,184,45298,144.7
32,Tier-1,VRL,Hakka,118,45149,20.67
25,Tier-1,dtdc,Hakka,192,45147,74.38
40,Tier-3,dtdc,Sevai,201,45007,89.91
1,Tier-1,dtdc,Sevai,74,45028,83.5
16,Tier-3,kerry,Pasta,346,45295,17.47
39,Tier-2,VRL,Sevai,460,45473,13.27
5,Tier-3,self,Pasta,483,45413,20.3
22,Tier-2,DTDC,Hakka,280,45208,89.91
29,Tier-3,dtdc,Sevai,109,45127,83.93
3,Tier-1,safe express,Cookies,41,45339,38.89
12,Tier-3,VRL,Others,361,45115,97.48
26,Tier-3,kerry,Cookies,137,45438,123.91
16,Tier-2,VRL,Hakka,461,45143,11.03
37,Tier-1,DTDC,Pasta,411,45429,77.23
22,Tier-3,kerry,Cookies,378,45317,104.95
29,Tier-1,DTDC,Pasta,348,45234,41.59
14,Tier-3,VRL,Cookies,52,45006,49.63
28,Tier-3,self,Cookies,381,45463,93.98
5,Tier-1,DTDC,Pasta,428,45044,135.2
30,Tier-3,kerry,Bites,497,45442,122.44
5,Tier-1,kerry,Cookies,87,45238,89.55
12,Tier-3,DTDC,Sevai,323,45439,110.88
16,Tier-2,courier,Others,298,45431,57.9
26,Tier-1,VRL,Hakka,279,45154,97.94
26,Tier-3,courier,Bites,171,45180,72.6
21,Tier-3,SELF,Pasta,198,45214,32.54
39,Tier-2,VRL,Bites,256,45087,106.75
36,Tier-1,DTDC,Noodles,397,45255,85.69
33,Tier-3,akr express,Noodles,225,45072,57.0
30,Tier-2,DTDC,Cookies,324,45418,137.14
37,Tier-3,courier,Cookies,422,45178,8.04
23,Tier-1,self,Sevai,348,45211,50.79
10,Tier-3,DTDC,Others,399,45292,13.25
5,Tier-3,DTDC,Hakka,386,45233,116.15
36,Tier-3,self,Bites,490,45464,106.81
34,Tier-3,DTDC,Noodles,442,45238,53.05
31,Tier-2,dtdc,Cookies,177,45222,102.97
10,Tier-2,akr express,Hakka,348,45118,62.41
19,Tier-1,safe express,Bites,202,45312,114.66
32,Tier-2,akr express,Cookies,462,45263,70.86
1,Tier-2,DTDC,Cookies,292,45206,64.78
5,Tier-1,dtdc,Noodles,345,45094,140.54
4,Tier-2,VRL,Noodles,399,45372,41.38
16,Tier-2,DTDC,Cookies,497,45221,22.46
24,Tier-1,courier,Pasta,22,45365,89.76
16,Tier-1,dtdc,Cookies,249,45275,145.55
2,Tier-1,self,Hakka,329,45379,59.79
28,Tier-3,dtdc,Cookies,455,45230,14.0
32,Tier-3,self,Sevai,492,45308,54.2
27,Tier-1,SELF,Others,156,45118,78.36
20,Tier-1,safe express,Sevai,213,45267,28.48
24,Tier-1,vrl,Sevai,89,45432,100.42
12,Tier-3,dtdc,Pasta,388,45272,149.67
35,Tier-3,kerry,Pasta,52,45063,70.5
33,Tier-2,courier,Cookies,467,45297,56.44
33,Tier-2,DTDC,Sevai,98,45349,63.1
43,Tier-1,courier,Pasta,157,45412,21.7
37,Tier-3,akr express,Noodles,104,45402,133.07
12,Tier-3,vrl,Cookies,461,45493,65.15
3,Tier-3,akr express,Hakka,437,45010,61.15
1,Tier-1,SELF,Others,160,45097,100.66
33,Tier-2,vrl,Bites,11,45433,69.09
40,Tier-1,vrl,Cookies,385,45070,98.99
10,Tier-2,akr express,Bites,31,45363,13.91
43,Tier-2,self,Sevai,380,45057,122.99
44,Tier-1,akr express,Others,322,45289,141.37
29,Tier-2,courier,Bites,494,45250,99.07
13,Tier-2,self,Sevai,337,45275,143.41
12,Tier-3,courier,Noodles,16,45049,26.96
31,Tier-2,SELF,Bites,215,45357,74.23
2,Tier-1,DTDC,Others,449,45215,92.26
35,Tier-1,VRL,Cookies,384,45393,89.35
23,Tier-2,self,Sevai,460,45415,63.21
17,Tier-3,SELF,Cookies,123,45051,54.02
26,Tier-3,kerry,Others,281,45270,23.39
8,Tier-2,SELF,Pasta,92,45484,61.8
29,Tier-2,akr express,Sevai,188,45083,28.59
26,Tier-1,akr express,Bites,219,45386,111.48
10,Tier-2,VRL,Sevai,473,45292,35.28
26,Tier-3,SELF,Cookies,337,45125,13.49
34,Tier-2,safe express,Noodles,133,45295,85.09
41,Tier-1,DTDC,Sevai,490,45071,91.31
7,Tier-1,akr express,Bites,122,45295,131.43
4,Tier-1,VRL,Pasta,21,45235,88.66
11,Tier-1,DTDC,Hakka,135,45055,55.09
29,Tier-1,SELF,Noodles,62,45406,121.44
36,Tier-2,SELF,Pasta,340,45359,83.34
25,Tier-2,vrl,Sevai,398,45394,16.5
21,Tier-2,VRL,Cookies,292,45109,87.05
36,Tier-2,akr express,Others,149,45191,136.66
10,Tier-1,safe express,Cookies,410,45391,62.47
37,Tier-3,SELF,Bites,399,45092,47.97
9,Tier-2,safe express,Cookies,106,45349,25.8
24,Tier-3,SELF,Noodles,14,45055,26.96
35,Tier-2,akr express,Cookies,66,45059,67.75
35,Tier-2,DTDC,Bites,421,45137,91.37
36,Tier-3,dtdc,Hakka,343,45038,16.69
18,Tier-1,DTDC,Sevai,78,45027,141.24
39,Tier-2,SELF,Others,127,45048,114.49
32,Tier-2,courier,Sevai,385,45419,90.06
24,Tier-2,dtdc,Cookies,68,45124,125.12
23,Tier-3,dtdc,Pasta,42,45012,16.63
32,Tier-1,safe express,Sevai,327,45479,74.14
37,Tier-3,VRL,Hakka,59,45035,96.36
12,Tier-3,safe express,Cookies,377,45100,125.15
13,Tier-1,safe express,Others,498,45281,118.6
23,Tier-3,courier,Bites,28,45085,45.18
25,Tier-1,DTDC,Hakka,223,45003,141.43
35,Tier-2,DTDC,Cookies,206,45222,23.03
41,Tier-1,kerry,Hakka,388,45337,131.89
30,Tier-2,SELF,Sevai,459,45447,145.79
17,Tier-3,courier,Others,487,45165,30.69
20,Tier-3,kerry,Bites,56,45382,109.7
25,Tier-2,akr express,Cookies,176,45343,10.84
22,Tier-3,SELF,Noodles,461,45382,63.79
13,Tier-1,SELF,Bites,298,45375,79.86
19,Tier-2,vrl,Noodles,150,45470,89.19
36,Tier-3,vrl,Hakka,93,45277,140.71
12,Tier-2,self,Pasta,191,45129,102.48
41,Tier-1,self,Bites,400,45030,74.79
19,Tier-1,safe express,Hakka,88,45374,122.4
12,Tier-3,akr express,Noodles,224,45010,142.83
9,Tier-1,dtdc,Sevai,23,45475,8.2
7,Tier-2,dtdc,Sevai,224,45301,147.47
28,Tier-1,vrl,Pasta,412,45095,17.49
14,Tier-2,vrl,Bites,137,45189,123.09
31,Tier-2,vrl,Bites,319,45452,45.65
19,Tier-1,courier,Bites,486,45191,24.17
