Order Date,Customer,Quantity,Delivery Lead Time,Segment
28-08-2025,Store_Beta,447,11,Champion
16-05-2025,Store_Zeta,257,28,Loyal
28-12-2025,Store_Delta,256,25,Loyal
05-03-2025,Store_Epsilon,164,39,Champion
03-05-2025,Store_Zeta,43,33,Potential
11-09-2025,Store_Delta,138,1,Loyal
24-04-2025,Store_Alpha,169,27,Champion
20-01-2025,Store_Alpha,98,13,Champion
16-01-2025,Store_Beta,102,41,At Risk
25-05-2025,Store_Gamma,336,3,At Risk
27-07-2025,Store_Eta,250,39,Potential
19-01-2025,Store_Eta,332,6,Loyal
15-06-2025,Store_Beta,477,8,Loyal
07-02-2025,Store_Gamma,413,27,Champion
30-06-2025,Store_Theta,126,9,Champion
15-12-2025,Store_Delta,103,37,Champion
15-04-2025,Store_Theta,172,33,Potential
10-04-2025,Store_Theta,108,42,Lost
31-03-2025,Store_Alpha,122,44,Lost
27-10-2025,Store_Theta,368,24,Champion
28-11-2025,Store_Eta,100,15,Potential
20-03-2025,Store_Zeta,355,32,Champion
14-03-2025,Store_Gamma,215,32,Loyal
25-06-2025,Store_Delta,26,24,Potential
06-04-2025,Store_Alpha,283,41,Loyal
11-12-2025,Store_Theta,182,12,Champion
13-04-2025,Store_Zeta,125,39,Champion
12-08-2025,Store_Gamma,358,2,Potential
06-01-2025,Store_Beta,477,3,Potential
02-05-2025,Store_Beta,190,37,Champion
24-08-2025,Store_Beta,100,17,Potential
26-04-2025,Store_Eta,91,2,Champion
12-06-2025,Store_Delta,333,2,Champion
14-08-2025,Store_Beta,458,28,Potential
18-08-2025,Store_Eta,123,23,Potential
01-07-2025,Store_Epsilon,266,37,At Risk
06-09-2025,Store_Eta,67,32,Loyal
14-11-2025,Store_Alpha,163,33,Potential
29-07-2025,Store_Eta,374,1,Champion
24-05-2025,Store_Delta,413,19,Lost
11-12-2025,Store_Zeta,125,2,Loyal
06-04-2025,Store_Theta,352,44,Potential
12-12-2025,Store_Eta,275,26,Champion
01-09-2025,Store_Beta,324,32,Champion
27-03-2025,Store_Alpha,212,6,Champion
03-07-2025,Store_Gamma,50,32,Champion
01-05-2025,Store_Beta,114,4,Champion
28-11-2025,Store_Alpha,398,11,Lost
02-04-2025,Store_Epsilon,387,17,Champion
11-03-2025,Store_Theta,202,38,Champion
13-05-2025,Store_Gamma,410,24,Champion
06-10-2025,Store_Epsilon,287,5,Loyal
17-05-2025,Store_Zeta,363,34,Loyal
10-11-2025,Store_Alpha,246,6,Champion
06-07-2025,Store_Epsilon,434,22,Champion
09-08-2025,Store_Theta,230,11,Loyal
15-02-2025,Store_Theta,77,16,Champion
05-10-2025,Store_Zeta,206,33,Champion
11-07-2025,Store_Theta,265,9,Champion
08-01-2025,Store_Alpha,148,6,Champion
03-10-2025,Store_Alpha,321,16,Loyal
28-06-2025,Store_Theta,444,29,Lost
30-11-2025,Store_Epsilon,158,3,Lost
08-02-2025,Store_Alpha,108,20,Potential
20-10-2025,Store_Beta,85,36,Loyal
27-06-2025,Store_Theta,291,19,Potential
11-06-2025,Store_Alpha,380,26,Potential
27-11-2025,Store_Delta,412,3,Potential
14-04-2025,Store_Zeta,118,19,Loyal
10-06-2025,Store_Theta,197,20,Champion
14-10-2025,Store_Alpha,208,32,Lost
03-05-2025,Store_Delta,312,7,Champion
23-02-2025,Store_Alpha,336,41,Champion
03-02-2025,Store_Alpha,163,33,Champion
30-08-2025,Store_Epsilon,49,40,Champion
23-04-2025,Store_Beta,142,39,Loyal
14-11-2025,Store_Theta,414,18,Champion
23-01-2025,Store_Zeta,471,40,Loyal
15-02-2025,Store_Theta,141,1,Champion
08-11-2025,Store_Beta,288,11,Champion
15-05-2025,Store_Gamma,371,28,Champion
28-04-2025,Store_Epsilon,93,25,Loyal
08-07-2025,Store_Epsilon,408,23,Potential
11-05-2025,Store_Beta,251,31,Potential
31-07-2025,Store_Eta,125,30,Loyal
23-04-2025,Store_Epsilon,118,42,Loyal
13-02-2025,Store_Theta,230,35,Loyal
08-05-2025,Store_Beta,401,7,Lost
30-12-2025,Store_Epsilon,50,16,Champion
07-06-2025,Store_Alpha,377,26,Champion
30-09-2025,Store_Beta,156,2,Loyal
11-11-2025,Store_Beta,121,1,Champion
21-12-2025,Store_Theta,112,12,Lost
06-12-2025,Store_Delta,55,5,Potential
14-02-2025,Store_Epsilon,421,37,Champion
18-04-2025,Store_Epsilon,484,32,Loyal
07-08-2025,Store_Beta,333,9,Loyal
14-11-2025,Store_Alpha,387,41,Loyal
11-11-2025,Store_Alpha,280,35,Champion
26-06-2025,Store_Zeta,492,19,Loyal
16-08-2025,Store_Alpha,430,16,Champion
10-07-2025,Store_Epsilon,394,3,Champion
09-06-2025,Store_Eta,204,20,Lost
24-09-2025,Store_Delta,376,24,Champion
24-12-2025,Store_Beta,289,33,Lost
22-11-2025,Store_Gamma,292,24,Potential
09-07-2025,Store_Delta,49,11,Loyal
24-06-2025,Store_Theta,456,8,Potential
17-10-2025,Store_Theta,198,36,Champion
23-12-2025,Store_Eta,173,38,Champion
25-05-2025,Store_Gamma,491,40,Champion
20-08-2025,Store_Delta,486,20,At Risk
26-12-2025,Store_Alpha,33,35,Champion
23-07-2025,Store_Epsilon,33,25,Champion
01-08-2025,Store_Eta,499,35,Lost
09-02-2025,Store_Gamma,13,25,Loyal
02-10-2025,Store_Eta,332,29,Potential
19-11-2025,Store_Delta,299,18,Potential
23-03-2025,Store_Epsilon,450,18,Lost
30-06-2025,Store_Eta,442,2,At Risk
16-11-2025,Store_Gamma,480,35,At Risk
24-03-2025,Store_Beta,190,16,Loyal
30-10-2025,Store_Delta,257,41,Potential
19-09-2025,Store_Beta,125,36,Champion
29-09-2025,Store_Alpha,288,33,Champion
19-07-2025,Store_Beta,374,4,Loyal
28-08-2025,Store_Beta,78,33,Potential
29-06-2025,Store_Zeta,360,14,At Risk
20-06-2025,Store_Delta,263,21,Lost
22-10-2025,Store_Alpha,190,20,Champion
26-06-2025,Store_Beta,327,8,Loyal
25-08-2025,Store_Theta,178,7,Champion
18-05-2025,Store_Epsilon,322,3,Potential
23-11-2025,Store_Gamma,258,17,Potential
07-11-2025,Store_Beta,197,33,Champion
09-05-2025,Store_Alpha,63,12,Loyal
18-02-2025,Store_Beta,335,22,Champion
13-06-2025,Store_Gamma,366,22,Champion
04-10-2025,Store_Alpha,322,30,Lost
20-10-2025,Store_Delta,147,38,Champion
26-04-2025,Store_Alpha,177,38,Champion
24-01-2025,Store_Delta,400,8,Champion
07-11-2025,Store_Alpha,112,27,Loyal
25-01-2025,Store_Theta,431,27,At Risk
07-05-2025,Store_Eta,94,34,Champion
22-08-2025,Store_Gamma,326,21,Champion
28-07-2025,Store_Gamma,221,30,Champion
03-04-2025,Store_Alpha,12,33,Potential
04-04-2025,Store_Eta,393,28,Potential
23-11-2025,Store_Beta,188,33,Potential
13-08-2025,Store_Gamma,351,5,Champion
07-10-2025,Store_Theta,312,19,Champion
11-01-2025,Store_Delta,461,4,Loyal
25-11-2025,Store_Delta,485,35,Potential
12-01-2025,Store_Epsilon,341,17,Loyal
04-02-2025,Store_Zeta,47,44,Champion
16-08-2025,Store_Eta,429,28,Lost
08-08-2025,Store_Zeta,248,30,Lost
21-05-2025,Store_Zeta,178,29,Champion
23-01-2025,Store_Delta,462,6,Champion
24-03-2025,Store_Theta,406,35,Loyal
17-08-2025,Store_Theta,352,41,Potential
10-12-2025,Store_Epsilon,323,37,Potential
21-03-2025,Store_Zeta,315,24,Loyal
19-12-2025,Store_Zeta,39,29,Champion
17-10-2025,Store_Alpha,199,31,Lost
27-11-2025,Store_Alpha,366,35,Lost
08-06-2025,Store_Alpha,34,33,Loyal
08-05-2025,Store_Beta,121,21,Champion
09-07-2025,Store_Zeta,420,32,Loyal
31-01-2025,Store_Theta,444,23,Loyal
25-12-2025,Store_Theta,215,33,Lost
15-01-2025,Store_Beta,194,3,Potential
09-11-2025,Store_Theta,391,18,Potential
16-03-2025,Store_Epsilon,388,25,Loyal
03-02-2025,Store_Eta,56,42,Lost
25-12-2025,Store_Delta,383,31,Champion
15-07-2025,Store_Zeta,237,3,Champion
27-11-2025,Store_Theta,48,40,Champion
29-01-2025,Store_Delta,25,24,Loyal
13-07-2025,Store_Theta,31,32,Potential
16-01-2025,Store_Eta,222,22,Champion
18-03-2025,Store_Alpha,319,23,Loyal
20-10-2025,Store_Zeta,158,2,Loyal
22-03-2025,Store_Gamma,465,27,Loyal
04-05-2025,Store_Beta,250,42,Loyal
19-01-2025,Store_Beta,281,2,Champion
12-04-2025,Store_Zeta,68,26,Lost
18-03-2025,Store_Eta,296,17,Loyal
17-08-2025,Store_Alpha,435,40,Loyal
24-10-2025,Store_Beta,211,33,Champion
22-07-2025,Store_Alpha,41,9,Potential
02-03-2025,Store_Epsilon,452,43,Champion
26-01-2025,Store_Delta,171,39,Champion
12-03-2025,Store_Eta,264,29,Champion
13-04-2025,Store_Gamma,263,42,Champion
22-11-2025,Store_Delta,18,26,Loyal
29-12-2025,Store_Delta,474,35,Potential
06-06-2025,Store_Epsilon,148,25,Champion
29-12-2025,Store_Beta,489,24,Champion
25-12-2025,Store_Gamma,19,13,Potential
13-07-2025,Store_Beta,223,7,Potential
02-10-2025,Store_Zeta,282,36,Loyal
20-11-2025,Store_Delta,333,20,Champion
05-07-2025,Store_Zeta,57,1,Loyal
22-11-2025,Store_Alpha,445,8,Loyal
23-04-2025,Store_Delta,120,16,Potential
09-11-2025,Store_Beta,162,14,Lost
14-06-2025,Store_Delta,132,12,At Risk
02-03-2025,Store_Alpha,414,23,Champion
02-04-2025,Store_Epsilon,366,15,Loyal
13-10-2025,Store_Zeta,111,28,Loyal
02-06-2025,Store_Theta,250,34,Potential
13-08-2025,Store_Zeta,330,2,Champion
07-05-2025,Store_Beta,200,32,Champion
12-07-2025,Store_Delta,226,23,Potential
25-04-2025,Store_Beta,60,22,Potential
19-09-2025,Store_Epsilon,301,25,Lost
18-01-2025,Store_Delta,90,22,Loyal
10-01-2025,Store_Theta,498,22,Potential
02-04-2025,Store_Delta,392,42,Lost
19-05-2025,Store_Theta,97,6,Champion
29-11-2025,Store_Beta,203,15,Champion
23-12-2025,Store_Beta,113,43,Champion
06-12-2025,Store_Alpha,280,37,At Risk
21-02-2025,Store_Eta,105,33,Loyal
14-07-2025,Store_Eta,432,8,Champion
25-07-2025,Store_Epsilon,388,44,Loyal
14-10-2025,Store_Eta,207,44,Potential
03-04-2025,Store_Alpha,10,5,Loyal
05-11-2025,Store_Zeta,416,39,Loyal
25-05-2025,Store_Theta,387,4,Champion
27-03-2025,Store_Delta,176,6,Lost
02-06-2025,Store_Beta,135,32,Loyal
02-01-2025,Store_Delta,322,30,Loyal
08-12-2025,Store_Delta,90,35,Potential
17-09-2025,Store_Gamma,427,40,Champion
13-06-2025,Store_Zeta,260,16,Lost
06-01-2025,Store_Gamma,178,13,Loyal
29-05-2025,Store_Eta,486,42,Champion
24-07-2025,Store_Delta,82,30,Loyal
28-04-2025,Store_Theta,150,19,Loyal
30-03-2025,Store_Beta,79,17,Potential
03-06-2025,Store_Theta,271,19,Champion
16-06-2025,Store_Delta,349,28,Potential
10-06-2025,Store_Zeta,317,26,Champion
27-09-2025,Store_Theta,254,37,Champion
25-02-2025,Store_Gamma,12,26,Champion
16-08-2025,Store_Beta,346,23,At Risk
03-12-2025,Store_Delta,72,9,Champion
29-05-2025,Store_Epsilon,58,12,Champion
15-02-2025,Store_Zeta,85,1,Champion
24-05-2025,Store_Zeta,377,1,Champion
26-08-2025,Store_Epsilon,184,34,Champion
29-09-2025,Store_Theta,118,32,Lost
30-04-2025,Store_Delta,192,25,Champion
06-12-2025,Store_Zeta,201,40,Lost
08-08-2025,Store_Beta,74,1,Loyal
08-01-2025,Store_Delta,346,16,Potential
10-12-2025,Store_Delta,460,39,Lost
02-10-2025,Store_Gamma,483,5,Loyal
19-12-2025,Store_Zeta,280,22,At Risk
07-03-2025,Store_Zeta,109,29,Champion
20-03-2025,Store_Epsilon,41,3,Lost
27-03-2025,Store_Gamma,361,12,Potential
04-05-2025,Store_Theta,137,26,Champion
21-07-2025,Store_Eta,461,16,Loyal
30-05-2025,Store_Theta,411,37,Champion
15-02-2025,Store_Theta,378,22,Loyal
23-04-2025,Store_Gamma,348,29,Loyal
01-04-2025,Store_Zeta,52,14,Loyal
21-05-2025,Store_Delta,381,28,Champion
16-10-2025,Store_Gamma,428,5,Potential
06-08-2025,Store_Epsilon,497,30,Loyal
18-03-2025,Store_Gamma,87,5,Loyal
30-11-2025,Store_Epsilon,323,12,Champion
01-06-2025,Store_Theta,298,16,Loyal
19-11-2025,Store_Eta,279,26,Loyal
27-08-2025,Store_Gamma,171,26,Loyal
25-04-2025,Store_Epsilon,198,21,Lost
15-11-2025,Store_Gamma,256,39,Potential
04-04-2025,Store_Eta,397,36,Champion
17-02-2025,Store_Theta,225,33,Potential
10-07-2025,Store_Gamma,324,30,Champion
12-01-2025,Store_Beta,422,37,Potential
05-06-2025,Store_Epsilon,348,23,Potential
21-06-2025,Store_Eta,399,10,Champion
23-10-2025,Store_Epsilon,386,5,Champion
26-06-2025,Store_Epsilon,490,36,Loyal
07-12-2025,Store_Alpha,442,34,Champion
26-02-2025,Store_Eta,177,31,Lost
09-12-2025,Store_Gamma,348,10,Champion
06-12-2025,Store_Epsilon,202,19,Lost
22-07-2025,Store_Zeta,462,32,At Risk
04-07-2025,Store_Alpha,292,1,Loyal
01-05-2025,Store_Beta,345,5,Potential
14-08-2025,Store_Epsilon,399,4,Potential
21-07-2025,Store_Theta,497,16,At Risk
26-11-2025,Store_Epsilon,22,24,At Risk
29-12-2025,Store_Alpha,249,16,Potential
22-12-2025,Store_Gamma,329,2,Loyal
04-08-2025,Store_Zeta,455,28,Potential
12-02-2025,Store_Theta,492,32,Loyal
23-01-2025,Store_Beta,156,27,Potential
04-06-2025,Store_Theta,213,20,Lost
05-07-2025,Store_Epsilon,89,24,Champion
06-09-2025,Store_Gamma,388,12,Champion
25-08-2025,Store_Eta,52,35,Champion
20-10-2025,Store_Zeta,467,33,Champion
14-05-2025,Store_Eta,98,33,Champion
17-11-2025,Store_Zeta,157,43,Potential
22-01-2025,Store_Beta,104,37,Lost
27-12-2025,Store_Delta,461,12,Lost
29-03-2025,Store_Zeta,437,3,Loyal
02-06-2025,Store_Delta,160,1,Lost
05-05-2025,Store_Eta,11,33,Potential
20-03-2025,Store_Zeta,385,40,Champion
12-12-2025,Store_Beta,31,10,Loyal
20-02-2025,Store_Alpha,380,43,Champion
04-08-2025,Store_Beta,322,44,Lost
25-06-2025,Store_Beta,494,29,Champion
24-12-2025,Store_Alpha,337,13,Potential
10-09-2025,Store_Alpha,16,12,Champion
03-09-2025,Store_Gamma,215,31,Potential
15-08-2025,Store_Zeta,449,2,Loyal
16-04-2025,Store_Eta,384,35,Champion
12-07-2025,Store_Gamma,460,23,Champion
12-11-2025,Store_Alpha,123,17,Loyal
29-10-2025,Store_Delta,281,26,Potential
05-02-2025,Store_Eta,92,8,Loyal
23-07-2025,Store_Delta,188,29,Potential
24-09-2025,Store_Beta,219,26,Champion
25-09-2025,Store_Epsilon,473,10,Champion
19-06-2025,Store_Beta,337,26,Loyal
08-02-2025,Store_Beta,133,34,Loyal
19-05-2025,Store_Epsilon,490,41,Lost
19-10-2025,Store_Zeta,122,7,Champion
21-02-2025,Store_Alpha,21,4,Potential
14-10-2025,Store_Delta,135,11,At Risk
16-10-2025,Store_Beta,62,29,Loyal
21-05-2025,Store_Epsilon,340,36,Champion
26-05-2025,Store_Gamma,398,25,Potential
10-11-2025,Store_Beta,292,21,At Risk
03-07-2025,Store_Delta,149,36,Lost
01-06-2025,Store_Alpha,410,10,Champion
20-07-2025,Store_Beta,399,37,Potential
08-05-2025,Store_Beta,106,9,Loyal
14-10-2025,Store_Zeta,14,24,At Risk
07-11-2025,Store_Theta,66,35,At Risk
10-09-2025,Store_Epsilon,421,35,Loyal
23-09-2025,Store_Gamma,343,36,Champion
07-07-2025,Store_Gamma,78,18,Loyal
18-08-2025,Store_Eta,127,39,Champion
28-09-2025,Store_Alpha,385,32,Potential
16-09-2025,Store_Eta,68,24,Champion
26-10-2025,Store_Delta,42,23,Loyal
17-07-2025,Store_Alpha,327,32,Champion
19-11-2025,Store_Beta,59,37,At Risk
25-02-2025,Store_Theta,377,12,Champion
15-11-2025,Store_Beta,498,13,Champion
22-07-2025,Store_Gamma,28,23,Loyal
28-09-2025,Store_Delta,223,25,At Risk
19-04-2025,Store_Epsilon,206,35,Potential
26-04-2025,Store_Delta,388,41,Champion
02-04-2025,Store_Beta,459,30,Loyal
18-05-2025,Store_Epsilon,487,17,Loyal
30-10-2025,Store_Delta,56,20,Loyal
26-02-2025,Store_Theta,176,25,Champion
19-02-2025,Store_Theta,461,22,Lost
12-03-2025,Store_Delta,298,13,Champion
23-03-2025,Store_Epsilon,150,19,Lost
15-04-2025,Store_Beta,93,36,Champion
29-03-2025,Store_Delta,191,12,Potential
02-01-2025,Store_Epsilon,400,41,Potential
26-12-2025,Store_Zeta,88,19,Loyal
25-03-2025,Store_Theta,224,12,Champion
12-02-2025,Store_Zeta,23,9,Champion
03-06-2025,Store_Beta,224,7,Loyal
23-11-2025,Store_Epsilon,412,28,Champion
04-04-2025,Store_Zeta,137,14,Champion
25-10-2025,Store_Epsilon,319,31,At Risk
13-05-2025,Store_Delta,486,19,Champion
06-03-2025,Store_Beta,257,16,Potential
17-10-2025,Store_Zeta,413,5,Champion
14-09-2025,Store_Eta,38,35,Potential
01-08-2025,Store_Delta,289,12,Champion
28-05-2025,Store_Theta,347,25,Lost
02-03-2025,Store_Eta,328,21,Champion
29-05-2025,Store_Eta,211,36,Champion
29-03-2025,Store_Alpha,370,23,Champion
20-11-2025,Store_Alpha,66,16,Champion
05-10-2025,Store_Beta,401,39,Loyal
23-03-2025,Store_Zeta,227,42,Loyal
09-05-2025,Store_Zeta,71,39,Loyal
13-10-2025,Store_Zeta,166,14,Lost
19-12-2025,Store_Epsilon,211,31,Loyal
07-10-2025,Store_Delta,26,5,Loyal
27-09-2025,Store_Zeta,331,35,Potential
19-10-2025,Store_Delta,15,23,Champion
22-07-2025,Store_Beta,67,29,Champion
24-01-2025,Store_Eta,334,43,Loyal
17-12-2025,Store_Zeta,421,11,At Risk
07-11-2025,Store_Beta,327,18,Lost
27-07-2025,Store_Zeta,178,12,Lost
07-10-2025,Store_Alpha,462,9,Champion
24-07-2025,Store_Gamma,91,10,Potential
01-06-2025,Store_Beta,483,44,Loyal
26-01-2025,Store_Zeta,477,17,Loyal
13-07-2025,Store_Theta,434,38,Loyal
02-12-2025,Store_Gamma,442,7,Champion
26-08-2025,Store_Beta,228,13,Champion
17-11-2025,Store_Theta,186,40,Champion
16-03-2025,Store_Theta,213,42,Loyal
12-06-2025,Store_Epsilon,80,9,Champion
26-10-2025,Store_Theta,396,27,Potential
29-01-2025,Store_Zeta,275,2,Champion
14-06-2025,Store_Epsilon,107,5,Potential
03-12-2025,Store_Alpha,354,29,Loyal
05-07-2025,Store_Zeta,300,37,Potential
23-02-2025,Store_Eta,217,38,Champion
22-10-2025,Store_Theta,11,19,Loyal
11-02-2025,Store_Alpha,133,8,Loyal
12-10-2025,Store_Gamma,289,1,Champion
18-05-2025,Store_Beta,83,22,Potential
06-07-2025,Store_Theta,175,17,Champion
23-07-2025,Store_Delta,31,7,Champion
11-02-2025,Store_Alpha,163,25,Lost
16-12-2025,Store_Delta,436,4,Potential
15-10-2025,Store_Theta,448,36,Champion
26-01-2025,Store_Delta,304,6,Champion
25-02-2025,Store_Theta,228,31,Loyal
10-09-2025,Store_Beta,166,19,Champion
02-05-2025,Store_Gamma,239,44,Champion
16-04-2025,Store_Beta,29,39,At Risk
10-05-2025,Store_Zeta,484,27,Champion
03-12-2025,Store_Alpha,50,10,Champion
07-06-2025,Store_Delta,447,26,Champion
19-08-2025,Store_Beta,157,19,Lost
04-11-2025,Store_Theta,117,39,Potential
01-04-2025,Store_Beta,412,3,Champion
22-01-2025,Store_Beta,93,13,Potential
17-10-2025,Store_Alpha,492,28,Champion
20-04-2025,Store_Gamma,376,20,Champion
18-02-2025,Store_Eta,331,28,Loyal
